CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD
9134001,RIO HUICHAHUE EN FAJA 24000,9,DE LA ARAUCANIA,TEMUCO,385114,721705,735599,5695920,150
9135002,FREIRE,9,DE LA ARAUCANIA,FREIRE,385719,723714,706191,5685420,100
9135003,FREIRE SENDOS,9,DE LA ARAUCANIA,TEMUCO,385735,723630,707217,5684979,100
9135004,FREIRE CAMPAMENTO FISCAL,9,DE LA ARAUCANIA,TEMUCO,385800,723735,705653,5684169,100
9140001,RIO CAUTIN EN ALMAGRO,9,DE LA ARAUCANIA,TEMUCO,384646,725711,677810,5705708,20
9140002,ALMAGRO,9,DE LA ARAUCANIA,NUEVA IMPERIAL,384639,725702,678035,5705847,20
9150003,NUEVA IMPERIAL,9,DE LA ARAUCANIA,NUEVA IMPERIAL,384447,725719,677694,5709381,23
9151001,CARAHUE,9,DE LA ARAUCANIA,CARAHUE,384246,730851,661057,5713466,77
9153001,PUERTO SAAVEDRA,9,DE LA ARAUCANIA,PUERTO SAAVEDRA,384735,732345,639311,5704956,5
9200002,PUERTO DOMINGUEZ,9,DE LA ARAUCANIA,PUERTO SAAVEDRA,385350,731514,651422,5693179,13
9300001,ESCUELA PUBLICA PORMA,9,DE LA ARAUCANIA,TEODORO SCHMIDT,390737,731602,649780,5667706,12
9400000,RIO TRUFUL EN CAMINO INTERNACIONAL,9,DE LA ARAUCANIA,MELIPEUCO,385021,713922,269465,5697718,520
9400002,CONGUILLIO,9,DE LA ARAUCANIA,MELIPEUCO,384625,713805,271111,5705048,719
9401001,TRICAUCO,9,DE LA ARAUCANIA,MELIPEUCO,385038,713305,278578,5697440,520
9402001,RIO ALLIPEN EN MELIPEUCO,9,DE LA ARAUCANIA,MELIPEUCO,385155,714401,262817,5694618,450
9403001,CUNCO,9,DE LA ARAUCANIA,CUNCO,385547,720056,758713,5686784,380
9404001,RIO ALLIPEN EN LOS LAURELES,9,DE LA ARAUCANIA,CUNCO,390026,721348,739857,5678763,190
9404002,LOS LAURELES,9,DE LA ARAUCANIA,CUNCO,385950,720241,755934,5679385,260
9404003,QUECHEREGUA,9,DE LA ARAUCANIA,CUNCO,390002,720400,754035,5678994,360
9405001,RIO CURACO EN COLICO,9,DE LA ARAUCANIA,CUNCO,390339,721051,743911,5672662,250
9405007,RIO TRAFAMPULLI EN RINCONADA,9,DE LA ARAUCANIA,TEMUCO,390526,715158,252113,5669263,340
9405010,LLANQUI LLANQUI,9,DE LA ARAUCANIA,CUNCO,390352,714600,260627,5672428,507
9405011,PITRUNCO,9,DE LA ARAUCANIA,CUNCO,390302,720518,751969,5673577,334
9411002,QUI—ENAHUIN,9,DE LA ARAUCANIA,CURARREHUE,391306,712608,289737,5656167,659
9412002,CURARREHUE,9,DE LA ARAUCANIA,CURARREHUE,392154,713456,277536,5639541,420
9412003,PUESCO (ADUANA),9,DE LA ARAUCANIA,CURARREHUE,393201,713322,280317,5620899,620
9414002,LLAFENCO,9,DE LA ARAUCANIA,PUCON,391957,714905,257101,5642523,360
9415001,TERMAS RIO BLANCO,9,DE LA ARAUCANIA,CUNCO,390618,713707,273569,5668306,732
9416001,RIO LIUCURA EN LIUCURA,9,DE LA ARAUCANIA,PUCON,391538,714937,256098,5650510,402
9416002,LAGO TINQUILCO,9,DE LA ARAUCANIA,CURARREHUE,391021,714355,263997,5660514,850
9417001,LAGO CABURGUA,9,DE LA ARAUCANIA,PUCON,391117,714618,260612,5658705,480
9417002,OJOS DEL CABURGUA,9,DE LA ARAUCANIA,PUCON,391438,715039,254546,5652302,300
9420002,PUCON,9,DE LA ARAUCANIA,PUCON,391721,715535,247613,5647035,230
9420003,VILLARRICA,9,DE LA ARAUCANIA,VILLARRICA,391304,721740,733571,5655573,210
9420004,CHANLELFU,9,DE LA ARAUCANIA,LONCOCHE,392754,722230,725827,5628335,345
9420019,PARQUE NACIONAL VILLARRICA,9,DE LA ARAUCANIA,PUCON,392059,715810,244118,5640206,800
9421001,LA CASCADA,9,DE LA ARAUCANIA,PUCON,391802,715600,247042,5645692,250
9423001,RIO TOLTEN EN COIPUE,9,DE LA ARAUCANIA,FREIRE,390450,722709,720367,5671197,200
9433003,QUITRATUE,9,DE LA ARAUCANIA,GORBEA,390915,723924,702476,5663510,90
9434003,GORBEA,9,DE LA ARAUCANIA,GORBEA,390623,724043,700723,5668851,94
9436002,FAJA MAISAN,9,DE LA ARAUCANIA,PITRUFQUEN,390515,725550,678983,5671474,57
